StateName,InstituteType,Institute,Quota,Branch,Category,TotalSeats,SeatGender
Andhra Pradesh,All India except Central University,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM (200421)",All India,MBBS (MBBS),ST NO,2,Both
Andhra Pradesh,Deemed University,"GITAM Institute of Medical Sciences and Research, Visakhapatnam, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatnam (200324)",Non-Resident Indian,MBBS (MBBS),OP NO,23,Both
Andhra Pradesh,Deemed University,"GITAM Institute of Medical Sciences and Research, Visakhapatnam, Gandhi Institute of Technology and Management (GITAM), Rushikonda, Visakhapatnam (200324)",Self-Financed Merit Seat,MBBS (MBBS),OP NO,127,Both
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),BC NO,2,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),EW NO,1,Both
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),OP NO,1,Both
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),SC NO,1,Both
Andhra Pradesh,All India except Central University,"Government Dental College and Hospital, Vijayawada, Government Dental College and Hospital, Machavaram Post, Vijayawada - 520004 (200452)",All India,BDS (BDS),ST NO,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU (200460)",All India,MBBS (MBBS),BC NO,7,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU (200460)",All India,MBBS (MBBS),BC PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU (200460)",All India,MBBS (MBBS),EW NO,4,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU (200460)",All India,MBBS (MBBS),OP NO,10,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU (200460)",All India,MBBS (MBBS),OP PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU (200460)",All India,MBBS (MBBS),SC NO,4,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ananthapuram, GOVERNMENT MEDICAL COLLEGE ANANTHAPURAMU (200460)",All India,MBBS (MBBS),ST NO,3,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU (200672)",All India,MBBS (MBBS),BC NO,6,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU (200672)",All India,MBBS (MBBS),EW NO,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU (200672)",All India,MBBS (MBBS),EW PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU (200672)",All India,MBBS (MBBS),OP NO,9,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU (200672)",All India,MBBS (MBBS),OP PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU (200672)",All India,MBBS (MBBS),SC NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU (200672)",All India,MBBS (MBBS),SC PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Eluru, SURVEY NO 60, BEHIND OLD BUS STAND, ELURU (200672)",All India,MBBS (MBBS),ST PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P (200441)",All India,MBBS (MBBS),BC NO,9,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P (200441)",All India,MBBS (MBBS),BC PH,1,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P (200441)",All India,MBBS (MBBS),EW NO,4,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P (200441)",All India,MBBS (MBBS),OP NO,14,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P (200441)",All India,MBBS (MBBS),SC NO,6,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Kadapa ( previously Rajiv Gandhi Institute of Medical Sciences, Kadapa), GOVERNMENT MEDICAL COLLEGE RIMS PUTLAMPALLI, YSR KADAPA DIST. G.M.C.,KADAPA.,A.P (200441)",All India,MBBS (MBBS),ST NO,3,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002 (200673)",All India,MBBS (MBBS),BC NO,6,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002 (200673)",All India,MBBS (MBBS),EW NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002 (200673)",All India,MBBS (MBBS),OP NO,8,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002 (200673)",All India,MBBS (MBBS),OP PH,1,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002 (200673)",All India,MBBS (MBBS),SC NO,3,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Machilipatnam, KARA AGRAHARAM, NEAR RADAR STATION, MACHILIPATNAM, KRISHNA DISTRICT, ANDHRA PRADESH -521002 (200673)",All India,MBBS (MBBS),ST NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com (200674)",All India,MBBS (MBBS),BC NO,6,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com (200674)",All India,MBBS (MBBS),EW NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com (200674)",All India,MBBS (MBBS),OP NO,9,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com (200674)",All India,MBBS (MBBS),SC NO,4,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Nandyal, principalgmcnandyala@gmail.com (200674)",All India,MBBS (MBBS),ST NO,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH (200443)",All India,MBBS (MBBS),BC NO,6,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH (200443)",All India,MBBS (MBBS),EW NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH (200443)",All India,MBBS (MBBS),OP NO,8,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH (200443)",All India,MBBS (MBBS),OP PH,1,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH (200443)",All India,MBBS (MBBS),SC NO,3,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Ongole (previously Rajiv Gandhi Institute of Medical Sciences, Ongole), BHAGYANAGAR 5TH LANE, RIMS, ONGOLE, PRAKASAM DISTRICT, ANDHRA PRADESH (200443)",All India,MBBS (MBBS),ST NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT (902841)",All India,MBBS (MBBS),BC NO,3,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT (902841)",All India,MBBS (MBBS),BC PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT (902841)",All India,MBBS (MBBS),EW NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT (902841)",All India,MBBS (MBBS),OP NO,6,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT (902841)",All India,MBBS (MBBS),SC NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Paderu, TALARASINGI VILLAGE,PADERU, ASR DISTRICT (902841)",All India,MBBS (MBBS),ST NO,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Piduguralla, BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT (904737)",All India,MBBS (MBBS),BC NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Piduguralla, BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT (904737)",All India,MBBS (MBBS),OP NO,3,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government Medical College, Piduguralla, BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT (904737)",All India,MBBS (MBBS),SC PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Piduguralla, BRAHMMANAPALLE VILLAGE, STATE HIGHWAY-2,PIDUGURALLA MANDAL , PALNADU DISTRICT (904737)",All India,MBBS (MBBS),ST NO,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram. (200662)",All India,MBBS (MBBS),BC NO,6,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram. (200662)",All India,MBBS (MBBS),EW NO,2,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram. (200662)",All India,MBBS (MBBS),OP NO,9,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram. (200662)",All India,MBBS (MBBS),OP PH,1,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram. (200662)",All India,MBBS (MBBS),SC NO,3,Both
Andhra Pradesh,All India except Central University,"Government Medical College, Rajamahendravaram, Government Medical College,D.No.55-4-1,Central Jail Road ,Near CTRI, Rajamahendravaram. (200662)",All India,MBBS (MBBS),ST NO,1,Both
Andhra Pradesh,All India except Central University,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003 (200668)",All India,MBBS (MBBS),BC NO,6,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003 (200668)",All India,MBBS (MBBS),EW NO,3,Both
Andhra Pradesh,All India except Central University,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003 (200668)",All India,MBBS (MBBS),OP NO,7,Both
Andhra Pradesh,All India except Central University,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003 (200668)",All India,MBBS (MBBS),SC NO,4,Both
Andhra Pradesh,All India except Central University,"Government medical college, vizianagaram, Opposite Central Tribal University , Near JNTU Gajularega, Vizianagaram, Andhra Pradesh, 535003 (200668)",All India,MBBS (MBBS),ST NO,2,Both
Andhra Pradesh,All India except Central University,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada (200442)",All India,MBBS (MBBS),BC NO,9,Both
Andhra Pradesh,All India except Central University,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada (200442)",All India,MBBS (MBBS),BC PH,1,Both
Andhra Pradesh,All India except Central University,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada (200442)",All India,MBBS (MBBS),EW NO,2,Both
Andhra Pradesh,All India except Central University,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada (200442)",All India,MBBS (MBBS),EW PH,1,Both
Andhra Pradesh,All India except Central University,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada (200442)",All India,MBBS (MBBS),OP NO,15,Both
Andhra Pradesh,All India except Central University,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada (200442)",All India,MBBS (MBBS),OP PH,1,Both
Andhra Pradesh,All India except Central University,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada (200442)",All India,MBBS (MBBS),SC NO,5,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Government Siddhartha Medical College, Vijaywada, Beside New Government General Hospital Gunadala Vijayawada (200442)",All India,MBBS (MBBS),ST NO,3,Both
Andhra Pradesh,All India except Central University,"Govt Dental College RIMS Kadapa, PRINCIPAL GOVT DENTAL COLLEGE, RIMS, PUTLAMPALLI KADAPA State ANDHRA PRADESH Pin 516004, Andhra Pradesh, 516004 (200447)",All India,BDS (BDS),BC NO,4,Both
Andhra Pradesh,All India except Central University,"Govt Dental College RIMS Kadapa, PRINCIPAL GOVT DENTAL COLLEGE, RIMS, PUTLAMPALLI KADAPA State ANDHRA PRADESH Pin 516004, Andhra Pradesh, 516004 (200447)",All India,BDS (BDS),EW NO,1,Both
Andhra Pradesh,All India except Central University,"Govt Dental College RIMS Kadapa, PRINCIPAL GOVT DENTAL COLLEGE, RIMS, PUTLAMPALLI KADAPA State ANDHRA PRADESH Pin 516004, Andhra Pradesh, 516004 (200447)",All India,BDS (BDS),OP NO,7,Both
Andhra Pradesh,All India except Central University,"Govt Dental College RIMS Kadapa, PRINCIPAL GOVT DENTAL COLLEGE, RIMS, PUTLAMPALLI KADAPA State ANDHRA PRADESH Pin 516004, Andhra Pradesh, 516004 (200447)",All India,BDS (BDS),SC NO,2,Both
Andhra Pradesh,All India except Central University,"Govt Dental College RIMS Kadapa, PRINCIPAL GOVT DENTAL COLLEGE, RIMS, PUTLAMPALLI KADAPA State ANDHRA PRADESH Pin 516004, Andhra Pradesh, 516004 (200447)",All India,BDS (BDS),ST NO,1,Both
Andhra Pradesh,All India except Central University,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building (200423)",All India,MBBS (MBBS),BC NO,10,Both
Andhra Pradesh,All India except Central University,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building (200423)",All India,MBBS (MBBS),EW NO,4,Both
Andhra Pradesh,All India except Central University,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building (200423)",All India,MBBS (MBBS),OP NO,14,Both
Andhra Pradesh,All India except Central University,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building (200423)",All India,MBBS (MBBS),SC NO,6,Both
Andhra Pradesh,All India except Central University,"Guntur Medical College, Guntur, Kannavarithoa Opp. NGOs Association Building (200423)",All India,MBBS (MBBS),ST NO,3,Both
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),BC NO,9,Both
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),BC PH,1,Both
Seat Matrix for Round 1 NEET UG MBBS BDS & BSc Nursing,,,,,,,
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),EW NO,4,Both
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),OP NO,15,Both
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),OP PH,1,Both
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),SC NO,4,Both
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),SC PH,1,Both
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),ST NO,1,Both
Andhra Pradesh,All India except Central University,"Kurnool Medical College, Kurnool, BUDHAWARPET, KURNOOL. (200424)",All India,MBBS (MBBS),ST PH,1,Both
Andhra Pradesh,All India except Central University,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam (200444)",All India,MBBS (MBBS),BC NO,8,Both
Andhra Pradesh,All India except Central University,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam (200444)",All India,MBBS (MBBS),EW NO,3,Both
Andhra Pradesh,All India except Central University,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam (200444)",All India,MBBS (MBBS),OP NO,10,Both
Andhra Pradesh,All India except Central University,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam (200444)",All India,MBBS (MBBS),OP PH,1,Both
Andhra Pradesh,All India except Central University,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam (200444)",All India,MBBS (MBBS),SC NO,5,Both
Andhra Pradesh,All India except Central University,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam, Balaga Srikakulam (200444)",All India,MBBS (MBBS),ST NO,3,Both
Andhra Pradesh,All India except Central University,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA (200420)",All India,MBBS (MBBS),BC NO,9,Both
Andhra Pradesh,All India except Central University,"Rangaraya Medical College, Kakinada, PITHAPURAM ROAD, KAKINADA (200420)",All India,MBBS (MBBS),BC PH,1,Both
